"persona"	"nome"	"cognome"	"dataNascita"	"dataMorte"	"valoreConsulta"
"http://dati.camera.it/ocd/persona.rdf/p8360"	"ANTONIO"	"GABRIELI"	"19020123"	"19841007"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12079"	"CARLO ALBERTO"	"GALLESIO"	"19120301"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12080"	"OFELIA"	"GAROIA"	"19090103"		"true"
"http://dati.camera.it/ocd/persona.rdf/p27920"	"LUIGI"	"GASPAROTTO"	"18730531"	"19540629"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr201761"	"UMBERTO"	"GAZZONI"	"18860714"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12081"	"PANFILO"	"GENTILE"	"18890528"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12082"	"VITO"	"GERARDI"	"18960308"		"true"
"http://dati.camera.it/ocd/persona.rdf/p8460"	"ATTILIO"	"GERMANO"	"19030714"	"19821218"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12084"	"LAMBERTO"	"GIANNITELLI"	"18930316"		"true"
"http://dati.camera.it/ocd/persona.rdf/p8530"	"GIOVANNI"	"GIAVI"	"19060426"	"19800930"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr11164"	"ANNIBALE"	"GILARDONI"	"18730606"	"19480705"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12086"	"UGO"	"GIOVACCHINI"	"18990727"		"true"
"http://dati.camera.it/ocd/persona.rdf/p26070"	"ALBERTO"	"GIOVANNINI"	"18821104"	"19690420"	"true"
"http://dati.camera.it/ocd/persona.rdf/p27970"	"MICHELE"	"GIUA"	"18890426"	"19660325"	"true"
"http://dati.camera.it/ocd/persona.rdf/p18910"	"GUIDO"	"GONELLA"	"19050918"	"19820819"	"true"
"http://dati.camera.it/ocd/persona.rdf/p303317"	"ENRICO"	"GONZALES"		"19650701"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12089"	"GIUSEPPE"	"GRACCEVA"	"19060213"		"true"
"http://dati.camera.it/ocd/persona.rdf/p27990"	"ACHILLE"	"GRANDI"	"18830824"	"19460927"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12090"	"LUIGI"	"GRANELLO"	"18800722"		"true"
"http://dati.camera.it/ocd/persona.rdf/p11780"	"GIUSEPPE"	"GRASSI"	"18830508"	"19500125"	"true"
"http://dati.camera.it/ocd/persona.rdf/p11810"	"VERENIN"	"GRAZIA"	"18980602"	"19720531"	"true"
"http://dati.camera.it/ocd/persona.rdf/p26110"	"CORRADO"	"GRAZIADEI"	"18930811"	"19600713"	"true"
"http://dati.camera.it/ocd/persona.rdf/p28000"	"RUGGERO"	"GRIECO"	"18930819"	"19550723"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12093"	"GIOVANNI"	"GUACCI"	"19020703"		"true"
"http://dati.camera.it/ocd/persona.rdf/p303319"	"UGO"	"GUARIENTI"		"19720112"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12094"	"ANDREA"	"GUGLIELMINETTI"	"19010201"		"true"
"http://dati.camera.it/ocd/persona.rdf/p8730"	"ANGELA"	"GUIDI"	"18961031"	"19910711"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12095"	"GIUSEPPE"	"GUINDANI"	"18920122"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12096"	"GOFFREDO"	"INNOCENZI"	"19010715"		"true"
